dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
com.google.inject:guice,org.hamcrest:hamcrest-all,16,114,138,0.14,0.12,0.14
org.junit.jupiter:junit-jupiter-api,org.springframework:spring-core,18,164,186,0.11,0.1,0.11
org.mockito:mockito-all,org.mockito:mockito-core,39,210,504,0.19,0.08,0.19
commons-codec:commons-codec,io.netty:netty-all,44,356,125,0.12,0.35,0.35
mysql:mysql-connector-java,org.apache.commons:commons-compress,40,326,121,0.12,0.33,0.33
org.slf4j:slf4j-api,org.springframework:spring-core,136,795,186,0.17,0.73,0.73
org.apache.maven:maven-core,org.postgresql:postgresql,11,112,134,0.1,0.08,0.1
javax.xml.bind:jaxb-api,org.hsqldb:hsqldb,25,169,120,0.15,0.21,0.21
javax.xml.bind:jaxb-api,redis.clients:jedis,16,169,111,0.09,0.14,0.14
commons-io:commons-io,log4j:log4j,131,614,296,0.21,0.44,0.44
commons-cli:commons-cli,org.junit.jupiter:junit-jupiter-engine,29,223,200,0.13,0.15,0.15
org.hamcrest:hamcrest-all,org.powermock:powermock-module-junit4,17,138,118,0.12,0.14,0.14
com.squareup.okhttp3:okhttp,org.easymock:easymock,2,131,104,0.02,0.02,0.02
com.fasterxml.jackson.core:jackson-annotations,org.apache.zookeeper:zookeeper,41,237,107,0.17,0.38,0.38
com.fasterxml.jackson.core:jackson-annotations,org.springframework:spring-test,49,237,188,0.21,0.26,0.26
org.postgresql:postgresql,org.powermock:powermock-module-junit4,12,134,118,0.09,0.1,0.1
org.mockito:mockito-all,org.testng:testng,36,210,158,0.17,0.23,0.23
joda-time:joda-time,org.apache.maven:maven-core,20,222,112,0.09,0.18,0.18
org.easymock:easymock,org.javassist:javassist,19,104,132,0.18,0.14,0.18
org.slf4j:jcl-over-slf4j,org.springframework:spring-core,50,173,186,0.29,0.27,0.29
commons-fileupload:commons-fileupload,commons-io:commons-io,111,148,614,0.75,0.18,0.75
com.h2database:h2,org.springframework:spring-core,46,211,186,0.22,0.25,0.25
commons-cli:commons-cli,org.apache.commons:commons-text,34,223,103,0.15,0.33,0.33
com.google.code.findbugs:jsr305,com.h2database:h2,30,167,211,0.18,0.14,0.18
ch.qos.logback:logback-classic,mysql:mysql-connector-java,98,381,326,0.26,0.3,0.3
org.hamcrest:hamcrest-all,org.postgresql:postgresql,16,138,134,0.12,0.12,0.12
org.mockito:mockito-core,org.openjdk.jmh:jmh-core,38,504,100,0.08,0.38,0.38
com.fasterxml.jackson.core:jackson-databind,org.assertj:assertj-core,67,453,243,0.15,0.28,0.28
org.apache.commons:commons-text,org.openjdk.jmh:jmh-core,10,103,100,0.1,0.1,0.1
ch.qos.logback:logback-core,org.springframework:spring-jdbc,16,113,130,0.14,0.12,0.14
org.postgresql:postgresql,org.slf4j:jcl-over-slf4j,29,134,173,0.22,0.17,0.22
com.google.guava:guava,org.apache.commons:commons-compress,81,680,121,0.12,0.67,0.67
javax.servlet:javax.servlet-api,org.apache.commons:commons-lang3,123,281,548,0.44,0.22,0.44
commons-beanutils:commons-beanutils,org.apache.commons:commons-collections4,39,163,109,0.24,0.36,0.36
com.google.inject:guice,org.springframework:spring-context,22,114,240,0.19,0.09,0.19
com.google.inject:guice,com.squareup.okhttp3:okhttp,8,114,131,0.07,0.06,0.07
junit:junit,org.mockito:mockito-all,180,1314,210,0.14,0.86,0.86
commons-lang:commons-lang,org.springframework:spring-test,50,271,188,0.18,0.27,0.27
mysql:mysql-connector-java,org.jsoup:jsoup,39,326,133,0.12,0.29,0.29
commons-fileupload:commons-fileupload,org.jsoup:jsoup,29,148,133,0.2,0.22,0.22
org.apache.commons:commons-collections4,org.eclipse.jetty:jetty-server,24,109,148,0.22,0.16,0.22
com.alibaba:fastjson,org.apache.httpcomponents:httpclient,70,207,384,0.34,0.18,0.34
com.alibaba:fastjson,org.hamcrest:hamcrest-library,3,207,136,0.01,0.02,0.02
javax.annotation:javax.annotation-api,org.apache.commons:commons-math3,9,122,107,0.07,0.08,0.08
org.powermock:powermock-module-junit4,org.testng:testng,11,118,158,0.09,0.07,0.09
org.hibernate:hibernate-core,org.javassist:javassist,31,114,132,0.27,0.23,0.27
com.google.code.findbugs:jsr305,org.slf4j:slf4j-simple,28,167,223,0.17,0.13,0.17
org.mockito:mockito-core,org.yaml:snakeyaml,60,504,143,0.12,0.42,0.42
com.squareup.okhttp3:okhttp,org.testng:testng,10,131,158,0.08,0.06,0.08
org.openjdk.jmh:jmh-core,org.slf4j:slf4j-log4j12,20,100,301,0.2,0.07,0.2
commons-beanutils:commons-beanutils,org.slf4j:slf4j-simple,26,163,223,0.16,0.12,0.16
com.fasterxml.jackson.core:jackson-core,org.apache.httpcomponents:httpclient,130,287,384,0.45,0.34,0.45
com.google.inject:guice,org.springframework:spring-webmvc,10,114,142,0.09,0.07,0.09
commons-lang:commons-lang,org.slf4j:jcl-over-slf4j,49,271,173,0.18,0.28,0.28
mysql:mysql-connector-java,org.springframework:spring-webmvc,60,326,142,0.18,0.42,0.42
org.apache.httpcomponents:httpclient,org.json:json,65,384,137,0.17,0.47,0.47
io.netty:netty-all,log4j:log4j,40,125,296,0.32,0.14,0.32
org.hamcrest:hamcrest-library,org.springframework:spring-core,20,136,186,0.15,0.11,0.15
commons-cli:commons-cli,org.apache.commons:commons-lang3,121,223,548,0.54,0.22,0.54
org.hibernate:hibernate-core,org.powermock:powermock-module-junit4,7,114,118,0.06,0.06,0.06
com.fasterxml.jackson.core:jackson-databind,org.apache.logging.log4j:log4j-core,81,453,202,0.18,0.4,0.4
com.fasterxml.jackson.core:jackson-databind,com.google.code.gson:gson,130,453,365,0.29,0.36,0.36
javax.validation:validation-api,org.bouncycastle:bcprov-jdk15on,11,110,106,0.1,0.1,0.1
commons-codec:commons-codec,javax.xml.bind:jaxb-api,67,356,169,0.19,0.4,0.4
commons-lang:commons-lang,javax.xml.bind:jaxb-api,33,271,169,0.12,0.2,0.2
mysql:mysql-connector-java,org.apache.logging.log4j:log4j-api,46,326,158,0.14,0.29,0.29
org.apache.maven:maven-plugin-api,org.hamcrest:hamcrest-library,21,156,136,0.13,0.15,0.15
log4j:log4j,org.slf4j:slf4j-api,196,296,795,0.66,0.25,0.66
org.apache.commons:commons-compress,redis.clients:jedis,19,121,111,0.16,0.17,0.17
commons-io:commons-io,org.apache.commons:commons-compress,93,614,121,0.15,0.77,0.77
commons-io:commons-io,org.openjdk.jmh:jmh-core,27,614,100,0.04,0.27,0.27
io.netty:netty-all,org.apache.commons:commons-text,14,125,103,0.11,0.14,0.14
org.hamcrest:hamcrest-library,org.mockito:mockito-all,17,136,210,0.13,0.08,0.13
commons-collections:commons-collections,javax.servlet:servlet-api,31,163,158,0.19,0.2,0.2
org.powermock:powermock-module-junit4,org.projectlombok:lombok,15,118,233,0.13,0.06,0.13
commons-logging:commons-logging,javax.servlet:servlet-api,47,217,158,0.22,0.3,0.3
org.hibernate:hibernate-core,org.springframework:spring-beans,40,114,151,0.35,0.26,0.35
com.google.code.findbugs:jsr305,com.google.inject:guice,25,167,114,0.15,0.22,0.22
org.jsoup:jsoup,org.junit.jupiter:junit-jupiter-api,11,133,164,0.08,0.07,0.08
org.openjdk.jmh:jmh-core,org.springframework:spring-webmvc,3,100,142,0.03,0.02,0.03
com.fasterxml.jackson.core:jackson-annotations,joda-time:joda-time,67,237,222,0.28,0.3,0.3
com.google.guava:guava,org.hsqldb:hsqldb,42,680,120,0.06,0.35,0.35
com.fasterxml.jackson.core:jackson-core,org.springframework:spring-context,71,287,240,0.25,0.3,0.3
com.fasterxml.jackson.core:jackson-core,org.junit.jupiter:junit-jupiter-api,31,287,164,0.11,0.19,0.19
com.fasterxml.jackson.core:jackson-core,org.springframework:spring-test,56,287,188,0.2,0.3,0.3
com.google.protobuf:protobuf-java,org.mockito:mockito-core,44,152,504,0.29,0.09,0.29
org.mockito:mockito-all,org.projectlombok:lombok,23,210,233,0.11,0.1,0.11
joda-time:joda-time,log4j:log4j,54,222,296,0.24,0.18,0.24
commons-lang:commons-lang,org.springframework:spring-web,50,271,161,0.18,0.31,0.31
org.easymock:easymock,org.hamcrest:hamcrest-library,14,104,136,0.13,0.1,0.13
javax.xml.bind:jaxb-api,org.springframework:spring-beans,26,169,151,0.15,0.17,0.17
org.apache.httpcomponents:httpclient,org.testng:testng,53,384,158,0.14,0.34,0.34
org.apache.commons:commons-collections4,org.springframework:spring-test,25,109,188,0.23,0.13,0.23
commons-io:commons-io,org.hamcrest:hamcrest-library,58,614,136,0.09,0.43,0.43
commons-cli:commons-cli,joda-time:joda-time,60,223,222,0.27,0.27,0.27
org.apache.commons:commons-math3,org.powermock:powermock-module-junit4,14,107,118,0.13,0.12,0.13
org.apache.commons:commons-lang3,org.bouncycastle:bcprov-jdk15on,58,548,106,0.11,0.55,0.55
org.apache.zookeeper:zookeeper,org.junit.jupiter:junit-jupiter-api,10,107,164,0.09,0.06,0.09
org.hamcrest:hamcrest-all,org.json:json,11,138,137,0.08,0.08,0.08
ch.qos.logback:logback-core,org.apache.commons:commons-compress,18,113,121,0.16,0.15,0.16
ch.qos.logback:logback-core,org.hamcrest:hamcrest-core,18,113,137,0.16,0.13,0.16
com.google.guava:guava,org.slf4j:slf4j-api,365,680,795,0.54,0.46,0.54
javax.servlet:javax.servlet-api,org.slf4j:slf4j-simple,51,281,223,0.18,0.23,0.23
javax.validation:validation-api,org.springframework:spring-test,28,110,188,0.25,0.15,0.25
javax.inject:javax.inject,org.slf4j:jcl-over-slf4j,36,109,173,0.33,0.21,0.33
org.mockito:mockito-all,org.slf4j:jcl-over-slf4j,26,210,173,0.12,0.15,0.15
joda-time:joda-time,org.junit.jupiter:junit-jupiter-api,12,222,164,0.05,0.07,0.07
junit:junit,org.json:json,96,1314,137,0.07,0.7,0.7
commons-lang:commons-lang,org.easymock:easymock,37,271,104,0.14,0.36,0.36
mysql:mysql-connector-java,org.apache.maven:maven-plugin-api,22,326,156,0.07,0.14,0.14
org.easymock:easymock,org.powermock:powermock-module-junit4,18,104,118,0.17,0.15,0.17
javax.servlet:servlet-api,org.apache.commons:commons-compress,19,158,121,0.12,0.16,0.16
org.apache.commons:commons-collections4,org.apache.commons:commons-lang3,82,109,548,0.75,0.15,0.75
org.apache.commons:commons-collections4,org.springframework:spring-web,22,109,161,0.2,0.14,0.2
log4j:log4j,org.yaml:snakeyaml,38,296,143,0.13,0.27,0.27
io.netty:netty-all,org.bouncycastle:bcprov-jdk15on,13,125,106,0.1,0.12,0.12
org.hamcrest:hamcrest-library,org.slf4j:slf4j-simple,29,136,223,0.21,0.13,0.21
com.google.code.findbugs:jsr305,org.springframework:spring-context,25,167,240,0.15,0.1,0.15
org.springframework:spring-core,org.springframework:spring-jdbc,82,186,130,0.44,0.63,0.63
com.google.inject:guice,org.junit.jupiter:junit-jupiter-engine,14,114,200,0.12,0.07,0.12
org.junit.jupiter:junit-jupiter-engine,org.openjdk.jmh:jmh-core,21,200,100,0.11,0.21,0.21
org.easymock:easymock,org.springframework:spring-web,22,104,161,0.21,0.14,0.21
org.slf4j:slf4j-simple,org.springframework:spring-context,38,223,240,0.17,0.16,0.17
commons-fileupload:commons-fileupload,org.springframework:spring-core,47,148,186,0.32,0.25,0.32
log4j:log4j,org.slf4j:jcl-over-slf4j,52,296,173,0.18,0.3,0.3
io.netty:netty-all,org.apache.httpcomponents:httpcore,23,125,152,0.18,0.15,0.18
com.alibaba:fastjson,commons-lang:commons-lang,48,207,271,0.23,0.18,0.23
commons-logging:commons-logging,org.hamcrest:hamcrest-core,30,217,137,0.14,0.22,0.22
org.jsoup:jsoup,org.projectlombok:lombok,14,133,233,0.11,0.06,0.11
com.squareup.okhttp3:okhttp,org.slf4j:slf4j-log4j12,20,131,301,0.15,0.07,0.15
ch.qos.logback:logback-core,org.springframework:spring-webmvc,19,113,142,0.17,0.13,0.17
org.openjdk.jmh:jmh-core,org.projectlombok:lombok,10,100,233,0.1,0.04,0.1
commons-beanutils:commons-beanutils,org.slf4j:slf4j-log4j12,44,163,301,0.27,0.15,0.27
com.fasterxml.jackson.core:jackson-core,commons-logging:commons-logging,80,287,217,0.28,0.37,0.37
com.fasterxml.jackson.core:jackson-core,commons-beanutils:commons-beanutils,56,287,163,0.2,0.34,0.34
org.apache.httpcomponents:httpcore,org.mockito:mockito-all,32,152,210,0.21,0.15,0.21
org.json:json,org.junit.jupiter:junit-jupiter-api,10,137,164,0.07,0.06,0.07
org.apache.httpcomponents:httpclient,org.hamcrest:hamcrest-library,38,384,136,0.1,0.28,0.28
log4j:log4j,org.springframework:spring-beans,59,296,151,0.2,0.39,0.39
org.apache.commons:commons-compress,org.eclipse.jetty:jetty-server,37,121,148,0.31,0.25,0.31
commons-io:commons-io,org.projectlombok:lombok,76,614,233,0.12,0.33,0.33
commons-io:commons-io,javax.validation:validation-api,54,614,110,0.09,0.49,0.49
commons-collections:commons-collections,commons-fileupload:commons-fileupload,44,163,148,0.27,0.3,0.3
commons-collections:commons-collections,org.apache.httpcomponents:httpclient,80,163,384,0.49,0.21,0.49
ch.qos.logback:logback-classic,com.fasterxml.jackson.core:jackson-databind,136,381,453,0.36,0.3,0.36
org.hamcrest:hamcrest-all,org.springframework:spring-webmvc,11,138,142,0.08,0.08,0.08
org.springframework:spring-beans,org.springframework:spring-web,87,151,161,0.58,0.54,0.58
com.fasterxml.jackson.core:jackson-databind,commons-io:commons-io,231,453,614,0.51,0.38,0.51
com.fasterxml.jackson.core:jackson-annotations,com.google.code.gson:gson,83,237,365,0.35,0.23,0.35
com.google.guava:guava,commons-beanutils:commons-beanutils,96,680,163,0.14,0.59,0.59
com.google.guava:guava,org.springframework:spring-core,82,680,186,0.12,0.44,0.44
javax.servlet:javax.servlet-api,org.springframework:spring-webmvc,79,281,142,0.28,0.56,0.56
org.eclipse.jetty:jetty-servlet,org.mockito:mockito-all,24,114,210,0.21,0.11,0.21
org.apache.logging.log4j:log4j-slf4j-impl,org.hsqldb:hsqldb,9,120,120,0.08,0.08,0.08
org.springframework:spring-web,org.springframework:spring-webmvc,96,161,142,0.6,0.68,0.68
com.google.inject:guice,org.apache.maven.plugin-tools:maven-plugin-annotations,11,114,132,0.1,0.08,0.1
commons-lang:commons-lang,redis.clients:jedis,22,271,111,0.08,0.2,0.2
mysql:mysql-connector-java,org.slf4j:slf4j-api,188,326,795,0.58,0.24,0.58
org.bouncycastle:bcprov-jdk15on,org.hamcrest:hamcrest-library,14,106,136,0.13,0.1,0.13
org.apache.httpcomponents:httpclient,org.eclipse.jetty:jetty-server,78,384,148,0.2,0.53,0.53
org.apache.commons:commons-collections4,org.hsqldb:hsqldb,14,109,120,0.13,0.12,0.13
commons-io:commons-io,org.eclipse.jetty:jetty-server,103,614,148,0.17,0.7,0.7
io.netty:netty-all,joda-time:joda-time,19,125,222,0.15,0.09,0.15
com.fasterxml.jackson.core:jackson-databind,org.bouncycastle:bcprov-jdk15on,42,453,106,0.09,0.4,0.4
org.postgresql:postgresql,org.springframework:spring-core,27,134,186,0.2,0.15,0.2
org.apache.maven.plugin-tools:maven-plugin-annotations,org.springframework:spring-core,17,132,186,0.13,0.09,0.13
com.google.protobuf:protobuf-java,org.springframework:spring-context,20,152,240,0.13,0.08,0.13
commons-codec:commons-codec,org.hibernate:hibernate-core,47,356,114,0.13,0.41,0.41
com.google.code.gson:gson,org.eclipse.jetty:jetty-server,63,365,148,0.17,0.43,0.43
com.google.code.gson:gson,org.apache.commons:commons-lang3,175,365,548,0.48,0.32,0.48
org.eclipse.jetty:jetty-server,org.springframework:spring-webmvc,27,148,142,0.18,0.19,0.19
org.apache.httpcomponents:httpclient,org.hamcrest:hamcrest-all,41,384,138,0.11,0.3,0.3
log4j:log4j,org.mockito:mockito-core,82,296,504,0.28,0.16,0.28
io.netty:netty-all,javax.inject:javax.inject,11,125,109,0.09,0.1,0.1
org.apache.commons:commons-math3,org.assertj:assertj-core,15,107,243,0.14,0.06,0.14
commons-logging:commons-logging,org.mockito:mockito-core,80,217,504,0.37,0.16,0.37
org.hibernate:hibernate-core,redis.clients:jedis,10,114,111,0.09,0.09,0.09
com.google.code.findbugs:jsr305,joda-time:joda-time,44,167,222,0.26,0.2,0.26
com.squareup.okhttp3:okhttp,org.springframework:spring-web,15,131,161,0.11,0.09,0.11
com.fasterxml.jackson.core:jackson-annotations,commons-lang:commons-lang,56,237,271,0.24,0.21,0.24
org.postgresql:postgresql,org.springframework:spring-jdbc,28,134,130,0.21,0.22,0.22
com.fasterxml.jackson.core:jackson-core,org.apache.commons:commons-collections4,31,287,109,0.11,0.28,0.28
com.google.inject:guice,org.jsoup:jsoup,12,114,133,0.11,0.09,0.11
junit:junit,org.slf4j:slf4j-simple,172,1314,223,0.13,0.77,0.77
org.apache.logging.log4j:log4j-core,org.slf4j:jcl-over-slf4j,25,202,173,0.12,0.14,0.14
commons-lang:commons-lang,org.apache.logging.log4j:log4j-core,43,271,202,0.16,0.21,0.21
javax.servlet:servlet-api,org.mockito:mockito-core,45,158,504,0.28,0.09,0.28
log4j:log4j,org.testng:testng,34,296,158,0.11,0.22,0.22
io.netty:netty-all,org.json:json,14,125,137,0.11,0.1,0.11
commons-cli:commons-cli,org.apache.maven:maven-plugin-api,28,223,156,0.13,0.18,0.18
commons-collections:commons-collections,org.slf4j:slf4j-simple,30,163,223,0.18,0.13,0.18
org.apache.zookeeper:zookeeper,org.slf4j:slf4j-simple,13,107,223,0.12,0.06,0.12
ch.qos.logback:logback-classic,org.jsoup:jsoup,31,381,133,0.08,0.23,0.23
commons-beanutils:commons-beanutils,org.powermock:powermock-module-junit4,34,163,118,0.21,0.29,0.29
commons-codec:commons-codec,mysql:mysql-connector-java,114,356,326,0.32,0.35,0.35
junit:junit,org.junit.jupiter:junit-jupiter-engine,65,1314,200,0.05,0.33,0.33
mysql:mysql-connector-java,org.apache.logging.log4j:log4j-core,59,326,202,0.18,0.29,0.29
org.apache.httpcomponents:httpcore,org.eclipse.jetty:jetty-servlet,34,152,114,0.22,0.3,0.3
com.h2database:h2,org.springframework:spring-webmvc,34,211,142,0.16,0.24,0.24
org.apache.logging.log4j:log4j-api,org.springframework:spring-jdbc,20,158,130,0.13,0.15,0.15
io.netty:netty-all,org.springframework:spring-web,19,125,161,0.15,0.12,0.15
commons-cli:commons-cli,org.openjdk.jmh:jmh-core,14,223,100,0.06,0.14,0.14
org.jsoup:jsoup,org.postgresql:postgresql,15,133,134,0.11,0.11,0.11
org.jsoup:jsoup,redis.clients:jedis,13,133,111,0.1,0.12,0.12
ch.qos.logback:logback-classic,org.javassist:javassist,40,381,132,0.1,0.3,0.3
com.fasterxml.jackson.core:jackson-databind,org.projectlombok:lombok,70,453,233,0.15,0.3,0.3
org.openjdk.jmh:jmh-core,org.slf4j:jcl-over-slf4j,10,100,173,0.1,0.06,0.1
javax.inject:javax.inject,joda-time:joda-time,24,109,222,0.22,0.11,0.22
org.springframework:spring-core,org.testng:testng,28,186,158,0.15,0.18,0.18
org.eclipse.jetty:jetty-servlet,org.postgresql:postgresql,14,114,134,0.12,0.1,0.12
org.apache.logging.log4j:log4j-slf4j-impl,org.springframework:spring-core,17,120,186,0.14,0.09,0.14
junit:junit,org.eclipse.jetty:jetty-server,120,1314,148,0.09,0.81,0.81
commons-fileupload:commons-fileupload,joda-time:joda-time,41,148,222,0.28,0.18,0.28
commons-fileupload:commons-fileupload,org.apache.httpcomponents:httpcore,37,148,152,0.25,0.24,0.25
javax.servlet:servlet-api,org.eclipse.jetty:jetty-server,25,158,148,0.16,0.17,0.17
javax.servlet:servlet-api,org.easymock:easymock,28,158,104,0.18,0.27,0.27
commons-io:commons-io,commons-lang:commons-lang,183,614,271,0.3,0.68,0.68
org.hamcrest:hamcrest-library,org.projectlombok:lombok,9,136,233,0.07,0.04,0.07
com.alibaba:fastjson,redis.clients:jedis,41,207,111,0.2,0.37,0.37
commons-collections:commons-collections,org.assertj:assertj-core,22,163,243,0.13,0.09,0.13
org.apache.commons:commons-math3,org.apache.commons:commons-text,18,107,103,0.17,0.17,0.17
commons-logging:commons-logging,org.junit.jupiter:junit-jupiter-api,22,217,164,0.1,0.13,0.13
com.fasterxml.jackson.core:jackson-databind,javax.xml.bind:jaxb-api,80,453,169,0.18,0.47,0.47
com.squareup.okhttp3:okhttp,org.apache.commons:commons-compress,22,131,121,0.17,0.18,0.18
commons-beanutils:commons-beanutils,org.junit.jupiter:junit-jupiter-api,15,163,164,0.09,0.09,0.09
commons-lang:commons-lang,org.json:json,41,271,137,0.15,0.3,0.3
