repositoryName1,repositoryName2,intersection,similarity
Plugily-Projects/BuildBattle,cmu-phil/tetrad,"[analysis, annotations, defect, metadata]",0.8
talios/clojure-maven-plugin,tunnelvisionlabs/antlr4cs,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
codedrinker/community,socketio/engine.io-client-java,"[client, http]",1.0
micronaut-projects/micronaut-examples,spotify/sparkey-java,[logging],1.0
mdeverdelhan/ta4j-origins,red6/pdfcompare,[logging],1.0
88250/symphony,FasterXML/jackson-jr,"[client, http]",1.0
bernardosulzbach/dungeon,docbleach/DocBleach,"[analysis, annotations, defect, metadata]",0.8
plutext/docx4j-ImportXHTML,xSAVIKx/AndroidScreencast,[logging],1.0
games647/LagMonitor,java-deobfuscator/deobfuscator,[github],1.0
fusesource/hawtjni,samaxes/minify-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
Sayi/poi-tl,pircbotx/pircbotx,[logging],1.0
kokorin/Jaffree,spotify/sparkey-java,[logging],1.0
Multiverse/Multiverse-Core,filoghost/HolographicDisplays,"[analysis, annotations, defect, metadata]",1.0
ewolff/microservice,spring-projects-experimental/spring-fu,"[assets, bootstrap, web]",1.0
jcabi/jcabi-aspects,talsma-ict/umldoclet,[logging],1.0
Hive2Hive/Hive2Hive,JnRouvignac/AutoRefactor,[logging],1.0
jagrosh/Vortex,thiagolocatelli/parse4j,[logging],1.0
oskopek/javaanpr,postgis/postgis-java,[logging],1.0
amaembo/huntbugs,sdbg/sdbg,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
mathieucarbou/license-maven-plugin,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",1.0
hyperledger/fabric-chaincode-java,spotify/netty-zmtp,[logging],1.0
hprose/hprose-java,idealo/mongodb-slow-operations-profiler,"[api, javax, servlet, specs, standard]",0.83
TNG/JGiven,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
haosdent/jcgroup,postgis/postgis-java,[logging],1.0
neophob/PixelController,nokia/RED,[native],1.0
AlmasB/FXGL,vandeseer/easytable,[github],1.0
highcharts/highcharts-export-server,unidal/frameworks,"[api, javax, servlet, specs, standard, upload]",0.75
dunwu/java-tutorial,k-tamura/easybuggy,"[api, javax, servlet, specs, standard]",0.83
dunwu/java-tutorial,resthub/springmvc-router,"[api, javax, servlet, specs, standard]",0.71
msemys/esjc,thiagolocatelli/parse4j,[logging],1.0
javaswift/joss,majusko/pulsar-java-spring-boot-starter,"[junit, testing]",1.0
FasterXML/jackson-dataformats-text,Multiverse/Multiverse-Core,"[analysis, annotations, defect, metadata]",1.0
SERG-Delft/jpacman-framework,apache/incubator-retired-gossip,"[engine, junit, testing]",1.0
Ekryd/sortpom,trautonen/coveralls-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
oracle/oracle-db-examples,xuxueli/xxl-sso,"[api, javax, servlet, specs, standard]",1.0
fasseg/exp4j,nurkiewicz/async-retry,[logging],1.0
apache/maven-compiler-plugin,mojo-executor/mojo-executor,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.75
AzureAD/microsoft-authentication-library-for-java,oskopek/javaanpr,[logging],1.0
kilim/kilim,shrinkwrap/resolver,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
karcan/javaBootcamp,perye/dokit,"[api, io, swagger]",0.75
brettwooldridge/SansOrm,verdict-project/verdict,"[jdbc, sql, sqlite]",0.75
jcabi/jcabi-aspects,pircbotx/pircbotx,[logging],1.0
coinbase/coinbase-java,medcl/elasticsearch-analysis-pinyin,"[api, junit, mock, mocking, module, testing]",1.0
FasterXML/jackson-dataformats-binary,asterisk-java/asterisk-java,[logging],1.0
TheCoder4eu/BootsFaces-OSP,unicode-org/cldr,"[api, javax, servlet, specs, standard]",0.83
dynamicreports/dynamicreports,wildfirechat/im-app_server,"[apache, bridge, logging, slf4j]",1.0
QSFT/Doradus,omnifaces/omnifaces,"[api, javax, servlet, specs, standard]",0.83
barend/java-iban,hyperledger/fabric-gateway-java,"[engine, junit, testing]",0.75
omnifaces/omnifaces,unicode-org/cldr,"[api, javax, servlet, specs, standard]",0.83
AzureAD/microsoft-authentication-library-for-java,red6/pdfcompare,[logging],1.0
apache/commons-pool,preon/preon,[bytecode],1.0
aleksandr-m/gitflow-maven-plugin,kilim/kilim,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
kokorin/Jaffree,vassalengine/vassal,[logging],1.0
postgis/postgis-java,scorego/WechatRobot,[logging],1.0
Multiverse/Multiverse-Core,yinwang0/pysonar2,"[analysis, annotations, defect, metadata]",1.0
JnRouvignac/AutoRefactor,mp911de/logstash-gelf,[logging],1.0
jcabi/jcabi-aspects,oldmanpushcart/greys-anatomy,[logging],1.0
jcabi/jcabi-aspects,vassalengine/vassal,[logging],1.0
evrignaud/fim,signalapp/Signal-Server,"[apache, commons, csv, tabular]",0.8
deepdsl/deepdsl,sonatype/m2eclipse-scala,"[jvm, language, library, scala]",1.0
bytedeco/javacpp,kilim/kilim,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
atomix/copycat,kokorin/Jaffree,[logging],1.0
fuzhengwei/small-spring,tuguangquan/mybatis,[bytecode],1.0
ddd-by-examples/library,stefanbirkner/system-rules,"[junit, testing]",1.0
Ekryd/sortpom,bytedeco/javacpp,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
oracle/oracle-db-examples,socketio/engine.io-server-java,"[api, javax, servlet, specs, standard]",0.83
hyperledger/fabric-chaincode-java,spotify/sparkey-java,[logging],1.0
mojo-executor/mojo-executor,talios/clojure-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.75
Vatuu/discord-rpc,fabric8io/elasticsearch-cloud-kubernetes,[native],1.0
T-baby/MongoDB-Plugin,apache/commons-logging,[logging],1.0
88250/symphony,SeanDragon/protools,"[client, http]",1.0
sdbg/sdbg,takari/takari-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
torakiki/sejda,usethesource/capsule,"[engine, junit, testing]",0.75
yegor256/xembly,zsmartsystems/com.zsmartsystems.zigbee,[xml],1.0
j-easy/easy-rules,xuxueli/xxl-sso,"[api, javax, servlet, specs, standard]",0.71
danielflower/multi-module-maven-release-plugin,tunnelvisionlabs/antlr4cs,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.82
jenkinsci/bitbucket-branch-source-plugin,mttkay/signpost,"[authentication, oauth]",1.0
CleverTap/apns-http2,zxbu/webdav-aliyundriver,"[client, http]",1.0
aadnk/ProtocolLib,soot-oss/soot,"[junit, mock, mocking, module, testing]",0.71
jagrosh/Vortex,mdeverdelhan/ta4j-origins,[logging],1.0
Nilhcem/FakeSMTP,hyperledger/fabric-chaincode-java,[logging],1.0
feroult/yawp,tunnelvisionlabs/antlr4cs,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
mcxiaoke/android-volley,rgladwell/m2e-android,[testing],1.0
ps3mediaserver/ps3mediaserver,thiagolocatelli/parse4j,[logging],1.0
AgNO3/jcifs-ng,highcharts/highcharts-export-server,"[api, javax, servlet, specs, standard]",0.83
goldmansachs/reladomo,xuxueli/xxl-sso,"[api, javax, servlet, specs, standard]",1.0
luontola/retrolambda,talios/clojure-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
kilim/kilim,tada/pljava,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
spotify/sparkey-java,talsma-ict/umldoclet,[logging],1.0
jcabi/jcabi-aspects,ttddyy/datasource-proxy,[logging],1.0
Pi4J/pi4j-v1,SpoutDev/Vanilla,"[junit, mock, mocking, module, testing]",0.71
lgxqf/UICrawler,msemys/esjc,[logging],1.0
arangodb/arangodb-java-driver,chhsiao90/nitmproxy,[logging],1.0
codelibs/fess,dynjs/dynjs,"[cli, parser]",1.0
pircbotx/pircbotx,twitter-archive/cloudhopper-smpp,[logging],1.0
T-baby/MongoDB-Plugin,plutext/docx4j-ImportXHTML,[logging],1.0
hprose/hprose-java,kakawait/cas-security-spring-boot-starter,"[api, javax, servlet, specs, standard]",1.0
oldmanpushcart/greys-anatomy,spotify/netty-zmtp,[logging],1.0
red6/pdfcompare,scorego/WechatRobot,[logging],1.0
kilim/kilim,takari/takari-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
checkstyle/checkstyle,ddd-by-examples/library,"[junit, testing]",1.0
Sayi/poi-tl,red6/pdfcompare,[logging],1.0
highcharts/highcharts-export-server,pac4j/spring-security-pac4j,"[api, javax, servlet, specs, standard]",0.83
SpoutDev/Vanilla,medcl/elasticsearch-analysis-pinyin,"[api, junit, mock, mocking, module, testing]",1.0
Hive2Hive/Hive2Hive,pircbotx/pircbotx,[logging],1.0
kakawait/cas-security-spring-boot-starter,pac4j/spring-security-pac4j,"[api, javax, servlet, specs, standard]",1.0
fluent/fluent-logger-java,mp911de/logstash-gelf,[logging],1.0
lexburner/dubbo-mesh,socketio/engine.io-client-java,"[client, http]",1.0
3pillarlabs/socialauth,apache/commons-pool,[bytecode],1.0
hyperledger/fabric-chaincode-java,red6/pdfcompare,[logging],1.0
mdeverdelhan/ta4j-origins,oldmanpushcart/greys-anatomy,[logging],1.0
TNG/JGiven,trivago/cluecumber-report-plugin,"[annotations, apache, build, build-system, junit, maven, metadata, plugin, testing, tools]",0.71
medcl/elasticsearch-analysis-pinyin,naver/volley-extensions,"[api, junit, mock, mocking, module, testing]",0.86
haosdent/jcgroup,plutext/docx4j-ImportXHTML,[logging],1.0
apache/commons-collections,torakiki/sejda,"[engine, junit, testing]",0.75
jnr/jnr-unixsocket,vandeseer/easytable,[github],1.0
idealo/mongodb-slow-operations-profiler,socketio/engine.io-server-java,"[api, javax, servlet, specs, standard]",0.71
kokorin/Jaffree,micronaut-projects/micronaut-examples,[logging],1.0
postgis/postgis-java,wangweiX/blockchain-java,[logging],1.0
lejon/T-SNE-Java,vandeseer/easytable,[github],1.0
Hive2Hive/Hive2Hive,mdeverdelhan/ta4j-origins,[logging],1.0
griffon/griffon,jgitver/jgitver,"[codehaus, groovy, jvm, language]",0.8
fluent/fluent-logger-java,jagrosh/Vortex,[logging],1.0
oskopek/javaanpr,red6/pdfcompare,[logging],1.0
barchart/barchart-udt,tomp2p/TomP2P,"[apache, commons, io, logging]",1.0
Ekryd/sortpom,ebourg/jsign,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
3pillarlabs/socialauth,dunwu/javacore,[bytecode],1.0
mathieucarbou/license-maven-plugin,rohanpadhye/JQF,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
hyperledger/fabric-chaincode-java,twitter-archive/cloudhopper-smpp,[logging],1.0
mdeverdelhan/ta4j-origins,msemys/esjc,[logging],1.0
alibaba/jvm-sandbox,knowm/Sundial,"[api, javax, servlet, specs, standard]",0.71
DragonetMC/Dragonet-Legacy,robovm/robovm,"[bytecode, debug]",1.0
Captain-Chaos/WorldPainter,wildfirechat/im-app_server,"[apache, bridge, logging, slf4j]",1.0
Mindgamesnl/OpenAudioMc,codedrinker/community,"[client, http]",1.0
checkstyle/checkstyle,jobrunr/jobrunr,"[junit, testing]",1.0
docbleach/DocBleach,jmxtrans/jmxtrans-agent,"[analysis, annotations, defect, google, metadata]",0.71
jnr/jnr-ffi,mangstadt/biweekly,[github],1.0
bytedeco/javacpp,ulisesbocchio/jasypt-spring-boot,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
alibaba/innodb-java-reader,apache/commons-validator,"[apache, commons, csv, tabular]",1.0
asciidoctor/asciidoclet,kiegroup/jbpm,"[junit, mock, mocking, module, testing]",0.83
joniles/mpxj,ssaring/sportstracker,"[jdbc, sql, sqlite]",1.0
chexagon/redis-session-manager,scalecube/socketio,"[io, native, netty, network, socket, transport]",0.75
TNG/JGiven,spotify/dockerfile-maven,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
bernardosulzbach/dungeon,filoghost/HolographicDisplays,"[analysis, annotations, defect, metadata]",1.0
fusesource/hawtjni,tunnelvisionlabs/antlr4cs,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.82
aleksandr-m/gitflow-maven-plugin,gmu-swe/phosphor,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
gturri/aXMLRPC,jnr/jnr-ffi,[github],1.0
mybatis/jpetstore-6,thymeleaf/thymeleaf-extras-springsecurity,"[api, servlet, spring]",0.75
aikar/commands,alaisi/postgres-async-driver,"[analysis, annotations, defect, metadata]",0.8
danielflower/multi-module-maven-release-plugin,mathieucarbou/license-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
coinbase/coinbase-java,zhegexiaohuozi/JsoupXpath,"[api, junit, mock, mocking, module, testing]",0.86
atteo/classindex,cisco-system-traffic-generator/trex-stateless-gui,"[junit, native, testing]",0.75
fluent/fluent-logger-java,red6/pdfcompare,[logging],1.0
java-deobfuscator/deobfuscator,jnr/jnr-unixsocket,[github],1.0
Ekryd/sortpom,amaembo/huntbugs,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
Ekryd/sortpom,paul-hammant/paranamer,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",1.0
QSFT/Doradus,unicode-org/cldr,"[api, javax, servlet, specs, standard]",0.71
Thomas-S-B/visualee,tomsik68/mclauncher-api,[json],1.0
apache/maven-compiler-plugin,openjfx/javafx-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
dodie/scott,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
jimbethancourt/RefactorFirst,rohanpadhye/JQF,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
kokorin/Jaffree,wangweiX/blockchain-java,[logging],1.0
Multiverse/Multiverse-Core,davidmoten/rxjava2-jdbc,"[analysis, annotations, defect, metadata]",0.8
lgxqf/UICrawler,twitter-archive/cloudhopper-smpp,[logging],1.0
Plugily-Projects/BuildBattle,filoghost/HolographicDisplays,"[analysis, annotations, defect, metadata]",1.0
hellokaton/anima,verdict-project/verdict,"[jdbc, logging, sql, sqlite]",0.8
jagrosh/Vortex,msemys/esjc,[logging],1.0
ddd-by-examples/library,majusko/pulsar-java-spring-boot-starter,"[junit, testing]",1.0
hyperledger/fabric-chaincode-java,ttddyy/datasource-proxy,[logging],1.0
asterisk-java/asterisk-java,johnlpage/POCDriver,[logging],1.0
asterisk-java/asterisk-java,scorego/WechatRobot,[logging],1.0
Syncleus/aparapi,fusesource/hawtdispatch,"[jvm, language, library, scala]",1.0
abertschi/graalphp,mr-hashemi/mr-hashemi,[sdk],1.0
abertschi/graalphp,locationtech/jts,[sdk],1.0
idealo/mongodb-slow-operations-profiler,knowm/Sundial,"[api, javax, servlet, specs, standard]",0.83
rongcloud/server-sdk-java,yegor256/xembly,[xml],1.0
gturri/aXMLRPC,kcctl/kcctl,[github],1.0
jgitver/jgitver,walkmod/walkmod-core,"[codehaus, groovy, jvm, language]",1.0
dunwu/java-tutorial,sosy-lab/java-smt,"[api, javax, servlet, specs, standard]",1.0
kiegroup/jbpm,medcl/elasticsearch-analysis-pinyin,"[junit, mock, mocking, module, testing]",0.83
dCache/nfs4j,ps3mediaserver/ps3mediaserver,[logging],1.0
sanger-pathogens/Artemis,smart-doc-group/smart-doc,[github],1.0
Ekryd/sortpom,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
hyperledger/fabric-chaincode-java,lgxqf/UICrawler,[logging],1.0
alibaba/jvm-sandbox,goldmansachs/reladomo,"[api, javax, servlet, specs, standard]",0.71
haosdent/jcgroup,jagrosh/Vortex,[logging],1.0
dodie/scott,shrinkwrap/resolver,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
gmu-swe/phosphor,tbroyer/gwt-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
Sayi/poi-tl,arangodb/arangodb-java-driver,[logging],1.0
spoofzu/DeepViolet,spotify/async-google-pubsub-client,"[json, logging]",1.0
Multiverse/Multiverse-Core,bernardosulzbach/dungeon,"[analysis, annotations, defect, metadata]",1.0
aikar/commands,docbleach/DocBleach,"[analysis, annotations, defect, metadata]",0.8
OpenAPITools/openapi-diff,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
OpenAPITools/openapi-diff,amaembo/huntbugs,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
paul-hammant/paranamer,shrinkwrap/resolver,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
spotify/dataenum,zalando/faux-pas,[google],1.0
T-baby/MongoDB-Plugin,msemys/esjc,[logging],1.0
nurkiewicz/async-retry,plutext/docx4j-ImportXHTML,[logging],1.0
hprose/hprose-java,nacos-group/nacos-spring-project,"[api, javax, servlet, specs, standard]",0.71
