mcrTags,count
"[analyzer,apache,bridge,database,dependency-injection,elastic,elasticsearch,google,index,jdbc,junit,library,logging,lucene,migration,mock,module,search,slf4j,sql,sqlite,testing]",1
"[apache,client]",1
"[annotations,apache,build,build-system,codehaus,collections,config,gradle,groovy,io,junit,jvm,language,maven,metadata,platform,plugin,spring,structures,testing,tools]",1
"[native,runtime]",1
"[apache,api,bridge,bytecode,cache,client,coordination,distributed,framework,grpc,io,javax,jvm,language,library,logging,model,nlp,protocol,rpc,scala,slf4j,specs,spring,standard,stub,testing,zookeeper]",1
"[annotations,apache,api,client,coordination,date,distributed,elastic,elasticsearch,engine,github,google,hibernate,http,io,javax,json,junit,jvm,language,library,metrics,mime,persistence,rest,scala,search,security,specs,standard,testing,time,validation,zookeeper]",1
"[apache,commons,data,io,mvc,rest,spring,testing]",1
"[apache,commons,csv,eclipse,linux,platform,schema,swt,tabular,tools,ui,unix,x86]",1
"[api,cache,data,javax,jpa,logging,persistence,servlet,specs,spring,standard,testing,web]",1
"[github,json,kotlin,module]",1
"[apache,api,build,build-system,cli,codehaus,dependency-injection,driver,eclipse,github,google,groovy,jenkins,jvm,language,maven,parser,provider,repository,selenium,testing]",1
"[client,code,codegen,container,database,docker,encryption,generator,github,jdbc,logging,migration,spring,transaction,upload]",1
"[apache,coordination,distributed,framework,github,persistence,spring,starter,zookeeper]",1
"[apache,api,hibernate,javax,jdbc,mapping,orm,persistence,pooling,relational,servlet,specs,spring,sql,standard,testing,tools]",1
"[apache,api,dependency-injection,eclipse,google,jpa,junit,logging,metrics,mock,mocking,module,monitoring,persistence,processor,security,social,streaming,testing,twitter]",1
"[dependency-injection,google,gwt,spring,testing,ui]",1
"[client,graph,http]",1
"[logging,spring,testing]",1
"[command,execution,external,logging,native,process]",1
"[amqp,apache,api,assets,binding,bootstrap,bpm,cache,client,config,console,coordination,database,discovery,distributed,eclipse,engine,frontend,github,integration,io,javax,jdbc,jetty,json,junit,logging,mail,mapping,mongodb,orm,persistence,plugin,protocol,queue,rabbitmq,reactive,redis,relational,security,serialization,server,servlet,slf4j,specs,spring,sql,standard,starter,support,template,testing,thrift,transaction,web,webserver,webservice,xml,zookeeper]",1
"[junit,support,swing,testing,ui]",1
"[annotations,eclipse,junit,testing]",1
"[deep-learning,jvm,language,library,machine-learning,nlp,scala]",1
"[api,config,discovery,javax,servlet,specs,spring,standard,starter]",1
"[apache,api,bytecode,client,compression,coordination,distributed,framework,javax,mime,servlet,specs,spring,standard,support,testing,tools,transaction,view]",1
"[apache,api,bytecode,coordination,data,distributed,eclipse,framework,github,influxdb,io,javax,jetty,metrics,runtime,server,servlet,specs,spring,standard,starter,swagger,webserver,zookeeper]",1
[pdf],1
"[client,cloud,discovery,github,http,kubernetes,logging,spring,starter,support,testing]",1
"[apache,api,cache,cloud,dashboard,generator,github,io,sdk,security,spring,starter,swagger]",1
"[annotations,apache,build,build-system,client,database,eclipse,generator,hadoop,hbase,io,linkedin,management,maven,metadata,metrics,monitoring,performance,plugin,protocol,redis,serialization,server,thrift,tools,web,websocket]",1
"[apache,bytecode,cache,chart,hibernate,io,javax,json,jvm,language,library,logging,mapping,model,orm,persistence,pooling,relational,scala,specs,spring,standard,support,testing,time,transaction,upload,visualization,xml]",1
"[embedded,io]",1
"[analysis,annotations,apache,azure,batch,build,build-system,client,codehaus,data,database,defect,encryption,groovy,identity,io,json,junit,library,maven,metadata,mock,mocking,model,module,netty,network,plugin,postgresql,reactive,resource,rest,runtime,schema,sdk,security,socket,spring,storage,testing,toolkit,tools,validation]",1
"[logging,scheduling]",1
"[http,logging]",2
"[annotations,apache,api,authentication,cache,client,codehaus,database,dependency-injection,ejb,embedded,google,gwt,hibernate,hsql,i18n,ibm,javax,jaxrs,jetty,jms,memcached,message,metadata,oauth,persistence,provider,queue,rest,search,server,social,solr,specs,spring,sql,standard,testing,ui,upload,webserver]",1
"[analysis,annotations,defect,json,logging,metadata,webservice]",1
"[analyzer,apache,index,logging,lucene]",1
"[client,http,ibm,language,logging,recognition,visual]",1
"[eclipse,http,jetty,json,server,webserver]",1
"[apache,bytecode,cache,client,cron,expression,github,hibernate,http,io,jboss,jdbc,language,metrics,native,netty,network,persistence,scheduling,security,socket,sql,validation]",1
"[apache,commons,database,evaluation,graph,io,nosql]",1
"[apache,api,bpm,cache,client,coordination,distributed,io,jms,logging,message,queue,schema,spring,support,swagger,upload,validation,zookeeper]",1
"[dependency-injection,google,graph,jvm,language,library,scala]",1
"[analysis,annotations,api,build,build-system,defect,google,gradle,groovy,hibernate,metadata,persistence,testing,validation]",1
"[json,junit,logging,testing]",1
"[io,json,rest,schema,validation]",1
"[analyzer,apache,api,application,binding,cms,controller,description,eclipse,framework,index,jboss,logging,lucene,metadata,mime,native,osgi,provider,resource,runtime,security,server,service,support,testing,upload,web,webapp,webdav,webservice,xml]",1
"[apache,api,authentication,client,dependency-injection,framework,google,hadoop,http,javax,linkedin,mapreduce,parallel,schema,servlet,specs,standard,tools,upload]",1
"[api,javax,jdbc,junit,logging,mock,mocking,module,persistence,servlet,specs,spring,sql,standard,testing]",1
"[apache,client,coordination,database,distributed,hadoop,hbase,mocking,search,solr,testing,zookeeper]",1
"[apache,client,cloud,config,coordination,database,distributed,embedded,framework,grpc,io,json,protocol,redis,rpc,service,spring,starter,zookeeper]",1
"[annotations,api,binding,client,github,http,io,javax,json,logging,reactive,slf4j,specs,standard,streaming,support,webservice,xml]",1
"[api,client,http,junit,logging,mock,mocking,module,testing]",1
"[api,database,io,javax,jdbc,json,logging,mapping,migration,orm,persistence,relational,servlet,specs,spring,standard,transaction]",1
"[analysis,annotations,aop,apache,api,appserver,aspect,authentication,batch,broker,cache,client,cluster,codehaus,commons,csv,data,defect,discovery,distributed,google,groovy,hadoop,io,javax,jetty,jms,jpa,json,junit,jvm,language,manager,mapping,mapreduce,message,metadata,mock,mocking,model,module,orm,parallel,persistence,plugin,policy,queue,reactive,relational,repository,rest,scala,schema,security,server,service,servlet,spark,specs,spring,standard,starter,streaming,support,tabular,testing,transaction,ui,web,webserver,webservice,xml]",1
"[api,assets,authentication,bootstrap,cloud,database,hsql,http,io,javax,junit,mock,mocking,module,oauth,provider,servlet,specs,spring,standard,testing,transaction,web]",1
"[client,cloud,config,google,http,spring]",1
"[api,client,docker,identity,jenkins,kubernetes,module,plugin,workflow]",1
"[api,javax,logging,servlet,specs,standard,tools]",1
"[analysis,annotations,defect,engine,github,io,junit,metadata,swing,testing,ui]",1
"[apache,client,compiler,generator,native,parser,pdf,redis,tools,xml]",1
"[analysis,annotations,api,defect,engine,github,google,i18n,ibm,junit,logging,metadata,native,testing]",1
"[client,engine,http,json,junit,testing]",1
"[codehaus,groovy,jvm,language,testing]",1
"[admin,amazon,annotations,apache,api,assets,authentication,authorization,binding,bootstrap,build,build-system,builder,cache,client,cloud,codehaus,config,connector,console,container,coordination,data,database,datasource,deployment,directory,distributed,docker,driver,elastic,elasticsearch,encryption,engine,event,export,extension,filtering,framework,git,github,google,gradle,graphql,groovy,grpc,hibernate,http,ibm,image,integration,interface,io,jaxrs,jboss,jdbc,json,jvm,kafka,kotlin,kubernetes,lambda,language,ldap,library,logging,manager,matching,maven,memory,messaging,metadata,migration,mime,model,mongodb,mqtt,mvc,native,oauth,orm,persistence,plugin,processor,prometheus,protocol,provider,reactive,redis,reflection,registry,rest,rpc,rule-engine,runner,runtime,scala,scheduling,schema,sdk,search,security,server,service,servlet,spring,sql,ssl,streaming,stub,testing,time,token,tools,tracing,transaction,ui,validation,vertx,web,websocket,xml,yaml,zookeeper]",1
[client],2
"[ads,apache,api,appengine,commons,csv,google,mapping,orm,pdf,persistence,relational,spring,tabular,testing,transaction]",1
"[apache,graphics,junit,svg,testing]",1
"[api,client,database,github,jdbc,junit,migration,testing]",1
"[analysis,annotations,apache,api,bridge,broker,cli,client,cluster,codehaus,collections,commons,connector,coordination,csv,defect,distributed,eclipse,hadoop,io,jaxrs,json,junit,jvm,language,library,logging,managment,math,metadata,metrics,mock,mocking,module,native,parser,protocol,rest,scala,serialization,server,slf4j,tabular,testing,thrift,tools,yarn,zookeeper]",1
"[api,javax,jdbc,persistence,specs,sql,sqlite,standard]",1
"[admin,api,bootstrap,cache,client,github,io,persistence,server,spring,starter,swagger,ui]",1
"[annotations,api,hibernate,io,jpa,logging,metadata,persistence,swagger]",1
"[apache,client,codehaus,database,driver,groovy,hadoop,hbase,html,jvm,language,mime,module,native,parser,pdf,reflection,rethinkdb,xml]",1
"[command,execution,external,json,process,runtime,swing,ui]",1
"[apache,client,database,graph,hadoop,hbase,jvm,language,library,nosql,scala,search,solr,spark]",1
"[cache,client,concurrency,database,github,hazelcast,logging,metrics,postgresql,redis,testing]",1
"[command,execution,external,logging,process]",1
"[apache,api,bytecode,cron,javax,jboss,network,scheduling,servlet,specs,spring,ssh,standard,tools]",1
"[apache,api,commons,io,manager,scheduling,security,spring,starter,swagger,ui]",1
"[analysis,annotation,annotations,client,container,defect,docker,github,google,http,io,jpa,junit,logging,matching,metadata,native,netty,network,persistence,socket,testing,transport,webservice]",1
"[apache,api,commons,csv,data,database,date,eclipse,geometry,geospatial,hsql,http,javax,jdbc,jetty,json,server,servlet,specs,sql,sqlite,standard,tabular,text,time,webserver]",1
"[client,http,tools]",1
"[actor,akka,apache,camera,concurrency,data,distributed,driver,eclipse,experimental,functional,github,io,jetty,junit,logging,mime,mock,mocking,module,native,server,slf4j,testing,typesafe,video,webcam,webserver]",1
"[api,hibernate,io,javax,json,logging,mocking,persistence,plugin,servlet,specs,spring,standard,testing,validation]",1
"[ant,apache,api,broker,cli,codehaus,command-line,dependency-injection,framework,google,io,javax,jaxrs,jms,json,launcher,logging,message,messaging,native,network,osgi,parser,queue,rest,server,servlet,specs,standard,testing,webservice,xml]",1
"[apache,bridge,logging,slf4j]",4
"[api,extension,junit,mock,mocking,module,testing]",1
"[github,xml,xpath]",1
"[apache,api,assets,azure,binding,bootstrap,bpm,bridge,camel,codehaus,commons,compiler,container,dom,engine,excel,extension,frontend,groovy,identity,integration,io,javaee,javax,jaxrs,jboss,json,junit,logging,mail,mapping,messaging,mock,mocking,model,module,orm,persistence,relational,remote,rest,rule-engine,security,servlet,slf4j,specs,spreadsheet,spring,standard,starter,testing,transaction,transport,upload,validation,web,webapp]",1
"[apache,cache,coordination,distributed,framework,grpc,io,protocol,rpc,stub,testing,zookeeper]",1
"[apache,api,application,console,coordination,distributed,hibernate,javax,mapping,orm,persistence,pooling,relational,security,servlet,specs,spring,standard,support,testing,transaction,upload,web,webapp,xml,zookeeper]",1
"[api,cache,database,driver,forms,github,io,jdbc,migration,postgresql,spring,swagger]",1
"[analysis,annotations,defect,graphql,json,metadata,spring,starter]",1
"[annotations,cli,codehaus,data,dependency-injection,google,groovy,io,junit,jvm,language,parser,report,testing]",1
"[apache,bytecode,jdbc,mime,native,packaging,spring,sql,sqlite,testing,transaction]",1
"[apache,io,mime,reactive]",1
"[apache,collections,engine,jdbc,junit,security,sql,sqlite,structures,testing]",1
"[i18n,ibm,logging,payment,pdf,processing,sdk,validation,web]",1
"[annotations,apache,build,build-system,client,cloud,codehaus,connector,database,google,hadoop,hbase,logging,maven,metadata,model,plugin,tools]",1
"[annotations,apache,build,build-system,maven,metadata,plugin,reporting,tools]",1
"[apache,security]",2
"[google,gwt,mocking,testing,ui]",1
"[apache,api,database,font,frontend,javax,jaxrs,jdbc,jvm,language,mapping,migration,orm,persistence,relational,rest,servlet,specs,spring,standard,support,testing,upload]",1
"[annotations,ant,apache,api,authentication,binding,build,build-system,client,container,eclipse,embedded,hibernate,io,jboss,jetty,json,logging,maven,metadata,netty,network,oauth,persistence,provider,reactive,reflection,repository,rest,server,servlet,socket,spring,streaming,testing,validation,vertx,web,webserver,xml]",1
"[bytecode,client,compiler,github,hibernate,json,mustache,persistence,pooling,validation,webservice]",1
"[apache,build,build-system,json,maven,plugin]",1
"[analytics,annotations,client,google,http,logging]",1
"[android,annotations,cache,client,connection,google,http,platform,url]",1
"[analysis,annotations,apache,build,build-system,defect,graphql,kafka,maven,metadata,plugin,registry,spring,starter,streaming,tools]",1
"[analysis,annotations,client,defect,dependency-injection,functional,google,io,logging,metadata,mock,mocking,netty,network,server,socket,spring,testing,webservice]",1
"[amazon,aws,logging]",1
"[annotation,annotations,apache,build,build-system,cache,commons,csv,filtering,git,i18n,ibm,maven,metadata,plugin,tabular,tools]",1
"[annotations,apache,build,build-system,io,logging,maven,metadata,model,plugin,server,tools,web]",1
"[amazon,api,dependency-injection,google,javax,json,junit,mock,mocking,module,runtime,sdk,servlet,specs,standard,support,testing]",1
"[api,client,cloud,connection,gateway,http,io,javax,loader,reporter,servlet,specs,spring,standard,tracing,url]",1
"[api,javaee,javax,servlet,specs,standard]",1
"[collections,eclipse]",1
"[apache,github,security]",1
"[annotations,api,client,code,codegen,database,dependency-injection,extension,generator,google,http,jdbc,json,junit,logging,migration,mock,mocking,model,module,testing]",1
"[dependency-injection,engine,google,json,junit,logging,testing]",1
"[analyzer,annotations,apache,api,authentication,automation,browser,client,dependency-injection,eclipse,google,htmlunit,index,javax,jetty,jsp,logging,lucene,oauth,persistence,server,specs,standard,testing,upload,webdriver,webserver,xml,xpath]",1
"[apache,bytecode,cache,jvm,language,mapping,orm,persistence,relational,schema,spring,support,testing,tools,transaction,upload]",1
"[config,io,jenkins]",1
"[annotations,aop,appserver,aspect,server,spring,starter]",1
"[dependency-injection,engine,google,junit,logging,testing,validation]",1
"[analyzer,apache,index,lucene,spring,testing]",1
"[binding,cache,directory,jboss,ldap,model,provider,xml]",1
"[eclipse,platform]",1
"[binding,mocking,runtime,testing,tools,xml]",1
"[codehaus,groovy,jaxrs,json,jvm,language,rest]",1
"[api,io,swagger]",5
"[apache,api,bytecode,commons,database,dependency-injection,ejb,embedded,google,hsql,io,javax,specs,spring,sql,standard,upload,xml]",1
"[github,graphics,servlet,svg]",1
"[apache,api,bytecode,codehaus,groovy,javax,jboss,jvm,language,logging,servlet,specs,standard,upload,wicket]",1
"[api,client,cloud,cluster,event,gateway,http,io,javax,plugin,server,specs,spring,standard,streaming,swagger,web]",1
"[apache,collections,coordination,distributed,io,structures,zookeeper]",1
"[annotations,apache,api,cluster,codehaus,groovy,io,javax,jboss,jms,jvm,language,logging,manager,metadata,persistence,queue,schema,security,servlet,shell,specs,standard,streaming,vertx,xml]",1
"[asynchronous,database,driver,github,jvm,language,library,postgresql,scala]",1
"[authentication,client,eclipse,io,jetty,logging,mqtt,native,netty,network,plugin,server,socket,starter,transport,webserver]",1
"[annotations,apache,asynchronous,build,build-system,codehaus,gradle,groovy,jvm,language,maven,metadata,model,platform,plugin,tools]",1
"[api,client,upload]",1
"[amqp,authentication,client,codec,database,distributed,driver,eclipse,http,io,kafka,logging,mongodb,native,netty,network,queue,routing,service,socket,spring,streaming,support,telemetry,tracing,transport,unix,vertx]",1
"[authentication,oauth,social,streaming,twitter]",1
"[annotations,apache,api,broker,build,build-system,client,commons,concurrency,connector,coordination,csv,database,distributed,framework,hadoop,hbase,io,javascript,javax,jms,mapreduce,maven,message,metadata,metrics,parallel,plugin,protocol,queue,redis,ruby,search,serialization,server,servlet,solr,specs,spring,standard,streaming,tabular,testing,thrift,tools,transport,upload,yarn,zookeeper]",1
"[apache,codehaus,commons,csv,junit,mock,mocking,module,tabular,testing]",1
"[analyzer,annotations,apache,api,assets,bom,bootstrap,client,codehaus,commons,csv,hibernate,http,image,index,io,javascript,javax,jboss,jquery,json,junit,logging,lucene,mapping,metadata,orm,persistence,relational,runtime,scheduling,scripting,search,servlet,spatial,specs,spring,standard,streaming,support,swagger,tabular,testing,text,transaction,ui,upload,validation,web,websocket,wicket,xml,xpath]",1
"[io,javax,specs,standard]",1
"[javax,mail,specs,spring,standard,starter,testing,transaction]",1
"[api,data,javax,mvc,rest,servlet,specs,spring,standard]",1
"[analysis,analyzer,annotation,annotations,apache,api,build,build-system,cli,commons,compatibility,compiler,cryptography,data,defect,eclipse,elastic,elasticsearch,encryption,generator,google,hibernate,http,ide,io,javaee,javax,junit,logging,maven,metadata,mocking,netbeans,parser,persistence,platform,plugin,reactive,search,security,servlet,sonar,specs,spring,standard,testing,tools,transaction,upload,validation,xml]",1
"[admin,assets,bootstrap,client,spring,starter,web]",1
"[amazon,aws,client,connection,database,io,redis,url,vertx]",1
"[json,logging]",3
"[javax,specs,standard]",2
"[annotations,apache,build,build-system,codehaus,commons,config,eclipse,expression,maven,metadata,platform,plugin,registry,tools,xml]",1
"[apache,mime,upload]",1
"[authentication,codehaus,groovy,jvm,language,oauth,xml]",1
"[apache,api,github,grpc,http,io,jdbc,mime,native,protocol,rpc,sql,stub]",1
"[api,appserver,data,hibernate,io,jpa,junit,mock,mocking,module,persistence,rest,server,spring,starter,swagger,testing,transaction,validation]",1
"[api,client,clojure,http,json,servlet,spring,webservice]",1
"[annotations,apache,build,build-system,maven,metadata,plugin,tools]",8
[math],4
"[admin,apache,api,bridge,client,github,io,logging,slf4j,spring,starter,swagger,upload]",1
"[annotations,apache,api,build,build-system,bytecode,javax,maven,metadata,plugin,servlet,specs,standard,swing,tools,ui]",1
"[analysis,annotations,apache,build,build-system,defect,google,maven,metadata,plugin,spring,testing,tools]",1
"[analysis,annotations,apache,api,authentication,cache,calendar,codehaus,defect,google,hibernate,i18n,ibm,javax,jaxrs,mapping,metadata,oauth,orm,persistence,pooling,relational,rest,service,specs,spring,standard,transaction,upload,xml,xpath]",1
"[api,client,grpc,http,io,javax,logging,protocol,rpc,service,servlet,specs,standard]",1
"[analytics,api,application,driver,extension,platform,selenium,testing,web,webapp]",1
"[archetype,github,logging,maven,mocking,support,testing,tree,xml]",1
"[analysis,annotations,apache,binding,defect,frontend,github,hibernate,metadata,persistence,validation,webservice,xml]",1
"[apache,junit,testing]",1
"[client,github,http]",1
"[io,platform,vertx]",1
"[api,bytecode,cache,client,database,github,manager,redis,scripting,serialization]",1
"[apache,api,bridge,bytecode,client,coordination,database,dependency-injection,distributed,eclipse,encryption,expression,framework,google,hadoop,hbase,http,io,javax,jetty,language,math,metrics,mime,monitoring,native,repository,security,server,servlet,specs,spring,standard,testing,upload,validation,webserver,zookeeper]",1
"[api,client,engine,junit,servlet,testing,webservice]",1
"[admin,authentication,io,jdbc,logging,oauth,server,spring,starter,web]",1
"[annotations,apache,build,build-system,codehaus,maven,metadata,plugin,policy,tools]",1
"[apache,assets,bootstrap,coordination,distributed,web,zookeeper]",1
"[analyzer,apache,api,bytecode,client,compiler,concurrency,eclipse,engine,generator,geo,http,i18n,ibm,index,io,javax,jetty,jndi,junit,lucene,math,mime,module,parser,regexp,request,security,server,servlet,specs,standard,testing,upload,webserver,xml]",1
"[api,expression,github,hibernate,interface,jdbc,jpa,language,logging,persistence,sql,sqlite,tools]",1
"[jboss,testing]",1
[module],1
"[apache,api,bytecode,client,commons,csv,database,embedded,encryption,hibernate,hsql,html,instrumentation,javax,jms,mapping,message,orm,parser,pdf,persistence,pooling,queue,relational,servlet,specs,spring,sql,standard,support,tabular,testing,transaction,upload,validation]",1
"[apache,javax,specs,standard]",1
"[data,jpa,persistence,spring]",1
"[data,github,io,math,native,render]",1
"[api,cloud,config,javax,logging,servlet,specs,spring,standard,starter,upload]",1
"[analysis,analyzer,annotations,apache,api,cli,cluster,codehaus,collections,config,csv,defect,directory,expression,google,index,io,jaxrs,jvm,language,library,lucene,metadata,metrics,parser,prometheus,rest,runtime,scala,security,server,shell,testing]",1
"[aop,apache,appserver,aspect,bytecode,cache,client,cloud,gateway,io,jetty,jvm,language,library,mime,netty,network,scala,server,socket,spring,starter,testing,transaction,webserver,xml]",1
"[bytecode,logging,spring,testing,transaction]",1
"[apache,api,config,coordination,dependency-injection,distributed,github,google,logging,protocol,serialization,thrift,xml,zookeeper]",1
"[apache,build,build-system,concurrency,coordination,distributed,framework,github,grpc,hadoop,io,jdbc,json,jvm,language,library,maven,model,native,netty,network,protocol,reactive,rpc,scala,sdk,socket,sql,sqlite,stub,testing,transport]",1
"[admin,amqp,api,client,cloud,http,locking,naming,queue,rabbitmq,redis,server,spring,starter,system,upload]",1
[model],1
"[annotations,apache,api,build,build-system,dependency-injection,doc,eclipse,generator,google,io,maven,metadata,naming,network,osgi,plugin,testing,tools]",1
"[api,compiler,rule-engine,scheduling,spring,starter]",1
"[analysis,annotations,defect,google,logging,metadata,mocking,native,swing,testing,ui]",1
"[apache,commons,encryption,io,server]",1
"[annotations,apache,build,build-system,io,maven,measurement,metadata,plugin,protocol,serialization,server,thrift,tools,transport,units]",1
[builder],1
"[api,github,io,junit,swagger,testing]",1
"[analysis,annotations,api,azure,client,defect,eclipse,github,google,identity,io,json,junit,metadata,mocking,plugin,reactive,rest,routing,runtime,swagger,testing,vertx]",1
"[compiler,frontend,generator,parser,text]",1
"[annotations,apache,api,azure,build,build-system,bytecode,cache,cli,client,codehaus,commons,coordination,csv,data,dependency-injection,distributed,eclipse,encryption,framework,google,hadoop,http,io,javax,jaxrs,jdbc,json,mapreduce,maven,metadata,mock,mocking,netty,network,parallel,parser,plugin,proxy,registry,rest,sdk,server,servlet,socket,specs,sql,ssh,ssl,standard,streaming,tabular,testing,tools,web,webservice,xml,yarn,zookeeper]",1
"[annotations,apache,assets,bootstrap,build,build-system,cloud,codehaus,gradle,groovy,interface,jvm,language,loader,maven,metadata,platform,plugin,spring,tools,web]",1
"[apache,build,build-system,driver,github,io,junit,logging,maven,model,runner,selenium,spring,testing,testng]",1
"[amazon,apache,api,aws,build,build-system,collections,description,eclipse,excel,font,google,javaee,javax,jdbc,json,library,math,maven,metadata,mime,mocking,pdf,plugin,portlet,redshift,runtime,scheduling,service,servlet,specs,spreadsheet,sql,standard,structures,testing,upload,validation,web,webservice,xml,xpath]",1
"[api,data,database,github,graph,hibernate,io,jdbc,jpa,junit,neo4j,persistence,postgresql,reactive,spring,sql,starter,testing]",1
"[apache,driver,graphics,junit,mime,selenium,svg,testing,upload]",1
"[apache,database,eclipse,elastic,elasticsearch,github,http,jetty,json,junit,platform,plugin,postgresql,search,server,testing,webserver]",1
"[amazon,analysis,analyzer,annotations,apache,api,authorization,aws,bundle,cloud,cms,codehaus,commons,coordination,csv,defect,distributed,elastic,elasticsearch,esb,groovy,index,interface,io,javax,junit,jvm,language,logging,lucene,metadata,mime,nlp,osgi,plugin,prometheus,provider,redis,s3,search,security,servlet,solr,specs,standard,tabular,testing,upload,zookeeper]",1
"[api,client,container,framework,javax,json,servlet,specs,standard,webservice,websocket]",1
"[cloud,spring,streaming,support,testing]",1
"[io,reactive]",4
"[annotations,api,compiler,database,dependency-injection,eclipse,github,hibernate,http,io,javax,jdbc,jetty,logging,metadata,metrics,migration,mustache,native,persistence,reflection,server,servlet,specs,standard,validation,webserver,webservice]",1
"[apache,client,dependency-injection,facebook,google,io,measurement,protocol,serialization,thrift,units]",1
"[annotations,apache,api,bridge,build,build-system,codehaus,coordination,distributed,eclipse,grpc,http,io,jetty,junit,jvm,language,library,logging,mapping,maven,metadata,mime,orm,persistence,plugin,protocol,relational,rpc,scala,server,slf4j,spring,stub,support,testing,tools,transaction,view,web-framework,webserver,xml,xpath,zookeeper]",1
"[cache,cluster,io,logging]",1
"[apache,api,client,codehaus,groovy,http,io,javax,json,junit,jvm,language,library,mapping,mime,mock,mocking,module,rest,scala,schema,servlet,specs,spring,standard,testing,upload,validation,web]",1
"[analysis,annotations,defect,eclipse,generator,logging,metadata,netty,network,sdk,socket]",1
"[api,client,http,javax,servlet,specs,standard]",1
"[container,junit,native,testing]",2
"[apache,api,client,distributed,framework,http,i18n,ibm,io,javax,jdbc,json,protocol,provider,serialization,servlet,specs,sql,sqlite,standard,testing,thrift,tracing,webservice]",1
"[apache,bytecode,compression,config,consul,coordination,discovery,distributed,etcd,grpc,io,logging,metrics,netty,network,protocol,registry,rpc,serialization,socket,stub,testing,transport,zookeeper]",1
"[debug,eclipse]",1
"[apache,api,commons,github,hibernate,io,javax,jdbc,jpa,persistence,social,specs,sql,sqlite,standard,streaming,twitter]",1
"[client,http,i18n,ibm,json,xml,xpath]",1
"[apache,api,cache,client,code,codegen,coordination,distributed,generator,github,io,javax,jms,message,persistence,queue,security,specs,spring,standard,support,swagger,testing,upload]",1
"[logging,testing,xml]",1
"[analysis,android,code-coverage,coverage,testing]",1
"[spring,support,testing,transaction,xml]",1
"[apache,api,client,commons,http,io,javax,logging,servlet,specs,spring,standard,transaction]",1
"[api,javax,logging,plugin,servlet,specs,spring,standard,testing]",1
"[analysis,annotations,config,defect,framework,io,json,junit,messaging,metadata,network,provider,runner,tcp,testing,webservice,xmpp]",1
"[api,javax,junit,mock,mocking,module,servlet,specs,standard,testing,upload]",1
"[cli,parser]",5
"[annotations,google,json]",1
"[apache,client,database,hbase,io,jvm,language,library,rocksdb,scala,server,storage,testing,transaction]",1
